"","X","experiment_id","sample_id","platform_id","cell_type","category","general_cell_type","donor_tissue","sub_cell_type1","ts_timepoint","ResemblingNativeCellType","index","cell_type.1","category.1","target_cell_type","general_cell_type.1","parental_cell_type","donor_tissue.1","CellType","Treatment","progenitor.cell.type","Comment","SRR_accession","QC_summary","SRX_accession","SRS_accession","SRP_accession","GSE_accession","Sample_name","Library_name","SampleName","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"SRR3878159","SRP078315.SRX1935557.GPL16791","SRP078315","SRX1935557","GPL16791","hepatocyte-like cell","test","dHEP","ESC","dHEP-ESC","d12","",78,"hepatocyte-like cells","test","hepatocytes","hepatocyte-like cell","ESC","","hepatocyte-like cells","D12, hepatocyte differentiation","","H9 differentiated to hepatocyte-like cells, day 5; PMID:27546535; hPSC – definitive endoderm (d3) – hepatic progenitor (d6) – hepatocyte-like cell (d17)","SRR3878159","PASS","SRX1935557","SRS1557144","SRP078315","HLC-differentiated hESCs, Day 12","","HLC day12","HLC-differentiated hESCs, Day 12","2016-07-17 10:36:21","2016-07-12 10:33:12",41751359,4175135900,0,100,1398,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR3878159/SRR3878159.1","HLC day12","RNA-Seq","RANDOM","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP078315","PRJNA328608",NA,328608,"SRS1557144","SAMN05379465","simple",9606,"Homo sapiens",NA,NA,NA,NA,"female",NA,"no",NA,NA,NA,"","FLORIDA STATE UNIVERSITY","SRA439528",NA,"public","A8975B28B071C052A302AFFAF82ACFBF","27A629B7084DA3D72275AC80E5A02F2C"
"SRR5487764","SRP105671.SRX2770662.GPL16791","SRP105671","SRX2770662","GPL16791","hepatocyte","standard","HEP",NA,NA,"","",80,"primary hepatocytes","standard",NA,"hepatocyte",NA,"","primary hepatocytes","untreated","","primary adult hepatocyte (7 days after thawing)","SRR5487764","PASS","SRX2770662","SRS2154137","SRP105671","d7_adult_hep","","RHL174","d7_adult_hep","2018-05-01 00:39:03","2017-04-30 15:16:20",102598526,5129926300,0,50,3228,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5487764/SRR5487764.1","RHL174","RNA-Seq","RANDOM","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP105671","PRJNA327465",NA,327465,"SRS2154137","SAMN06853748","simple",9606,"Homo sapiens",NA,NA,NA,NA,"female",NA,"no",NA,NA,NA,"","GENOME INSTITUTE OF SINGAPORE","SRA558080",NA,"public","BB30ACC2D2769971250BB08EC63B4307","219E3185551E1FDD8CF6190A058869D6"
"SRR5487765","SRP105671.SRX2770663.GPL16791","SRP105671","SRX2770663","GPL16791","hepatocyte","standard","HEP",NA,NA,"","",81,"primary hepatocytes","standard",NA,"hepatocyte",NA,"","primary hepatocytes","untreated","","primary adult hepatocyte (5 days after thawing)","SRR5487765","PASS","SRX2770663","SRS2154140","SRP105671","d5_adult_hep","","RHL177","d5_adult_hep","2018-05-01 00:39:03","2017-04-30 15:18:08",106139455,5306972750,0,50,3374,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5487765/SRR5487765.1","RHL177","RNA-Seq","RANDOM","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP105671","PRJNA327465",NA,327465,"SRS2154140","SAMN06853747","simple",9606,"Homo sapiens",NA,NA,NA,NA,"female",NA,"no",NA,NA,NA,"","GENOME INSTITUTE OF SINGAPORE","SRA558080",NA,"public","FB0A74481B61F862A93365099D241C8B","42E7B77D98F314F59678927203C4A8AF"
"SRR5487766","SRP105671.SRX2770664.GPL16791","SRP105671","SRX2770664","GPL16791","hepatocyte","standard","HEP",NA,NA,"","",82,"primary hepatocytes","standard",NA,"hepatocyte",NA,"","primary hepatocytes","untreated","","primary adult hepatocyte (3 days after thawing)","SRR5487766","PASS","SRX2770664","SRS2154139","SRP105671","d3_adult_hep","","RHL176","d3_adult_hep","2018-05-01 00:39:03","2017-04-30 16:04:12",112264349,5613217450,0,50,3554,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5487766/SRR5487766.1","RHL176","RNA-Seq","RANDOM","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP105671","PRJNA327465",NA,327465,"SRS2154139","SAMN06853746","simple",9606,"Homo sapiens",NA,NA,NA,NA,"female",NA,"no",NA,NA,NA,"","GENOME INSTITUTE OF SINGAPORE","SRA558080",NA,"public","09FE9BEB499ABB82E1660B90CB058268","A44A0410EF57FD7F35F126554C3CBEC5"
"SRR5487763","SRP105671.SRX2770661.GPL16791","SRP105671","SRX2770661","GPL16791","fetal hepatocyte","standard","fHEP",NA,NA,"","",83,"fetal hepatocyte","standard",NA,"fetal liver",NA,"","fetal hepatocyte","untreated","","22 weeks post gestation, unsorted","SRR5487763","PASS","SRX2770661","SRS2154138","SRP105671","Unsorted FL wk 22","","RHL175","Unsorted FL wk 22","2018-05-01 00:39:03","2017-04-30 15:17:11",117198114,5859905700,0,50,3718,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR5487763/SRR5487763.1","RHL175","RNA-Seq","RANDOM","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP105671","PRJNA327465",NA,327465,"SRS2154138","SAMN06853749","simple",9606,"Homo sapiens",NA,NA,NA,NA,"not determined",NA,"no",NA,NA,NA,"","GENOME INSTITUTE OF SINGAPORE","SRA558080",NA,"public","B9D7A4C6DA911F9E8A878392E6274845","267E22D1878A4E2530B425F39CE41D93"
"ERR1474890","ERP016268.ERX1546027.GPL11154","ERP016268","ERX1546027","GPL11154","derived dopaminergic neuron","test","dDPN","ESC","dDPN-ESC","endpoint","",85,"derived dopaminergic neurons","test","dopaminergic neurons","derived dopaminergic neuron","ESC","","derived dopaminergic neurons","derived","","2D-dopaminergic neurons derived from H9; PMID: 27476966","ERR1474890","PASS","ERX1546027","ERS1223081","ERP016268","SAMEA4051971","","GIS_2D_DA_neuron_1","SAMEA4051971","2016-08-29 05:41:13","2016-09-30 02:37:23",32935876,9880762800,32935876,300,3974,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/ERR1474890/ERR1474890.2","GIS_2D_DA_neuron_1","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",200,30,"ILLUMINA","Illumina HiSeq 2000","ERP016268","PRJEB14617",NA,340123,"ERS1223081","SAMEA4051971","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","Genome Institute of Singapore","ERA665505",NA,"public","CF9F1D07B08343CA2D74B9D171DB0CDD","B67ECA4C217BF92E6C254C39D025921D"
"ERR1474891","ERP016268.ERX1546028.GPL11154","ERP016268","ERX1546028","GPL11154","derived dopaminergic neuron","test","dDPN","ESC","dDPN-ESC","endpoint","",86,"derived dopaminergic neurons","test","dopaminergic neurons","derived dopaminergic neuron","ESC","","derived dopaminergic neurons","derived","","2D-dopaminergic neurons derived from H9; PMID: 27476966","ERR1474891","PASS","ERX1546028","ERS1223082","ERP016268","SAMEA4051972","","GIS_2D_DA_neuron_2","SAMEA4051972","2016-08-29 05:41:13","2016-09-30 02:39:30",52455006,15736501800,52455006,300,6455,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/ERR1474891/ERR1474891.2","GIS_2D_DA_neuron_2","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",200,30,"ILLUMINA","Illumina HiSeq 2000","ERP016268","PRJEB14617",NA,340123,"ERS1223082","SAMEA4051972","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","Genome Institute of Singapore","ERA665505",NA,"public","249FB093101BDA4B3AB7D9C017A894F1","F75090A41C3E63F4D450CEB0A6258562"
"ERR1474892","ERP016268.ERX1546029.GPL11154","ERP016268","ERX1546029","GPL11154","derived dopaminergic neuron","test","dDPN","ESC","dDPN-ESC","endpoint","",87,"derived dopaminergic neurons","test","dopaminergic neurons","derived dopaminergic neuron","ESC","","derived dopaminergic neurons","derived","","2D-dopaminergic neurons derived from H9; PMID: 27476966","ERR1474892","PASS","ERX1546029","ERS1223083","ERP016268","SAMEA4051973","","GIS_2D_DA_neuron_3","SAMEA4051973","2016-08-29 05:41:13","2016-09-30 02:43:34",41918780,12575634000,41918780,300,5727,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-9/ERR1474892/ERR1474892.2","GIS_2D_DA_neuron_3","RNA-Seq","cDNA","TRANSCRIPTOMIC","PAIRED",200,30,"ILLUMINA","Illumina HiSeq 2000","ERP016268","PRJEB14617",NA,340123,"ERS1223083","SAMEA4051973","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","Genome Institute of Singapore","ERA665505",NA,"public","8902E58643F47B7520FE1CFCC033AEC8","1711BFF67ECF09534A48B9EF487A79B0"
"SRR1523347","SRP044749.SRX659885.GPL10999","SRP044749","SRX659885","GPL10999","derived neuron","test","dNEUR","IPS","dNEUR-IPS","endpoint","",88,"derived neurons","test","neurons","derived neuron","IPS","","derived neurons","derived","","iPSC-derived neuron from Angelman patient","SRR1523347","PASS","SRX659885","SRS664889","SRP044749","Angelman iPS-derived neurons","","AG_Neuron_iPS_Rep1","Angelman iPS-derived neurons","2015-07-22 17:11:53","2015-12-16 15:31:18",15146088,2302205376,15146088,152,963,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1523347/SRR1523347.2","AG_Neuron_iPS_Rep1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina Genome Analyzer IIx","SRP044749","PRJNA255989",NA,255989,"SRS664889","SAMN02934456","simple",9606,"Homo sapiens",NA,NA,NA,NA,"missing",NA,"no",NA,NA,NA,"","UCONN HEALTH CENTER","SRA176403",NA,"public","3DE78C0CB458D97D4BDD13BCC65F25DF","485BFAB8FEE81F7FA74D1A7D62C01A92"
"SRR1523354","SRP044749.SRX659892.GPL11154","SRP044749","SRX659892","GPL11154","derived neuron","test","dNEUR","IPS","dNEUR-IPS","endpoint","",92,"derived neurons","test","neurons","derived neuron","IPS","","derived neurons","derived","","iPSC-derived neuron from 15q duplication syndrome patient","SRR1523354","PASS","SRX659892","SRS664892","SRP044749","Dup15q syndrome iPS-derived neurons","","15qDup_Neuron_iPS_Rep1","Dup15q syndrome iPS-derived neurons","2015-07-22 17:11:53","2015-12-16 15:43:01",34035391,6807078200,34035391,200,3625,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1523354/SRR1523354.2","15qDup_Neuron_iPS_Rep1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP044749","PRJNA255989",NA,255989,"SRS664892","SAMN02934459","simple",9606,"Homo sapiens",NA,NA,NA,NA,"missing",NA,"no",NA,NA,NA,"","UCONN HEALTH CENTER","SRA176403",NA,"public","3EEBEF15CD7BA9A93513520DCD104B3A","BAD77E82877D073B1D9DB141B74EF670"
"SRR1523355","SRP044749.SRX659893.GPL11154","SRP044749","SRX659893","GPL11154","derived neuron","test","dNEUR","IPS","dNEUR-IPS","endpoint","",93,"derived neurons","test","neurons","derived neuron","IPS","","derived neurons","derived","","iPSC-derived neuron from 15q duplication syndrome patient","SRR1523355","PASS","SRX659893","SRS664892","SRP044749","Dup15q syndrome iPS-derived neurons","","15qDup_Neuron_iPS_Rep1","Dup15q syndrome iPS-derived neurons","2015-07-22 17:11:53","2015-12-16 15:49:19",35219276,7043855200,35219276,200,3751,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1523355/SRR1523355.2","15qDup_Neuron_iPS_Rep1","RNA-Seq","PolyA","TRANSCRIPTOMIC","PAIRED",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP044749","PRJNA255989",NA,255989,"SRS664892","SAMN02934459","simple",9606,"Homo sapiens",NA,NA,NA,NA,"missing",NA,"no",NA,NA,NA,"","UCONN HEALTH CENTER","SRA176403",NA,"public","6C2EB9E606910EE1200F55BA0CECA383","D6E9465DF38559C6267EDC67E0ED4ED4"
"SRR2142347","SRP061670.SRX1181971.GPL16791","SRP061670","SRX1181971","GPL16791","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","d40","",107,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","40 d","","H1, 3D-RPE-40d is induced by three-dimensional cultures methods for 40 days","SRR2142347","PASS","SRX1181971","SRS1054269","SRP061670","3D-RPE-40d","","3D-RPE-40d","3D-RPE-40d","2015-12-01 00:00:00","2015-08-16 03:10:33",38517810,1925890500,0,50,973,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2142347/SRR2142347.1","3D-RPE-40d","RNA-Seq","RT-PCR","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP061670","PRJNA284254",NA,284254,"SRS1054269","SAMN04028228","simple",9606,"Homo sapiens",NA,NA,NA,NA,"not applicable",NA,"no",NA,NA,NA,"","SOUTHWEST HOSPITAL","SRA280368",NA,"public","116A3D44EC0DD6B7F86C7165F9877B92","587127CA58DC1A1152FC44AA2B3D717C"
"SRR2166265","SRP061670.SRX1181972.GPL16791","SRP061670","SRX1181972","GPL16791","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","d100","",108,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","40 d","","H1, 3D-RPE-100d is induced by three-dimensional cultures methods for 100 days","SRR2166265","PASS","SRX1181972","SRS1054266","SRP061670","3D-RPE-100d","","3D-RPE-100d","3D-RPE-100d","2015-12-01 00:00:00","2015-08-27 11:57:38",37461004,1873050200,0,50,935,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166265/SRR2166265.1","3D-RPE-100d","RNA-Seq","RT-PCR","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP061670","PRJNA284254",NA,284254,"SRS1054266","SAMN04028229","simple",9606,"Homo sapiens",NA,NA,NA,NA,"not applicable",NA,"no",NA,NA,NA,"","SOUTHWEST HOSPITAL","SRA280368",NA,"public","F48C7EC3A0B7C11E51EF33F37E99A65B","72C7643D52E5134A12A49E6FAC54F48E"
"SRR2166367","SRP061670.SRX1181973.GPL16791","SRP061670","SRX1181973","GPL16791","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","d40","",110,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","100 d","","H1, SD-RPE-40d is induced by spontaneous differentiation methods for 40 days","SRR2166367","PASS","SRX1181973","SRS1054268","SRP061670","SD-RPE-40d","","SD-RPE-40d","SD-RPE-40d","2015-12-01 00:00:00","2015-08-16 11:22:35",41015767,2050788350,0,50,1039,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166367/SRR2166367.1","SD-RPE-40d","RNA-Seq","RT-PCR","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP061670","PRJNA284254",NA,284254,"SRS1054268","SAMN04028230","simple",9606,"Homo sapiens",NA,NA,NA,NA,"not applicable",NA,"no",NA,NA,NA,"","SOUTHWEST HOSPITAL","SRA280368",NA,"public","06DEE6BDF38EC57780393F939E9ADFCB","F961B9C7BD49D08CE9893671446A73C1"
"SRR2166368","SRP061670.SRX1181974.GPL16791","SRP061670","SRX1181974","GPL16791","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","d100","",111,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","100 d","","H1, SD-RPE-100d is induced by spontaneous differentiation methods for 100 days","SRR2166368","PASS","SRX1181974","SRS1054267","SRP061670","SD-RPE-100d","","SD-RPE-100d","SD-RPE-100d","2015-12-01 00:00:00","2015-08-16 09:17:29",40767566,2038378300,0,50,1014,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR2166368/SRR2166368.1","SD-RPE-100d","RNA-Seq","RT-PCR","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2500","SRP061670","PRJNA284254",NA,284254,"SRS1054267","SAMN04028231","simple",9606,"Homo sapiens",NA,NA,NA,NA,"not applicable",NA,"no",NA,NA,NA,"","SOUTHWEST HOSPITAL","SRA280368",NA,"public","C57B8B424DEEF34202FDC5AC248D7157","EA4987BD60594DEB1908EC75C2EEBED4"
"SRR2895378","SRP064956.SRX1411451.GPL11154","SRP064956","SRX1411451","GPL11154","retinal pigmented epithelium, treated","other","RPE.t",NA,NA,"","",113,"RPE","standard",NA,"RPE",NA,"","RPE","transformed, treated","","hTERT-RPE1 (human telomerase reverse-transcriptase-transformed retinal pigment epithelium; ATCC) cells were serum starved in normal media with 0.2% FCS for 48 h to induced ciliogenesis, passage 8; PMID: 26167768","SRR2895378","PASS","SRX1411451","SRS1146043","SRP064956","RPE1_P8_10FCS_1","","","RPE1_P8_10FCS_1","2015-12-04 00:00:00","2016-04-22 17:00:42",21100534,1058823474,0,50,588,"GCA_000001405.13","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-7/SRR2895378/SRR2895378.2","","RNA-Seq","PolyA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP064956","PRJNA298886",2,298886,"SRS1146043","SAMN04193745","simple",9606,"Homo sapiens",NA,NA,NA,NA,"female",NA,"no",NA,NA,NA,"","UNIVERSITY OF LEEDS","SRA305007",NA,"public","759864095B2641162EC9640A190B3B28","09837230ECA74D9BFC06F9C4AC55ECC3"
"SRR2895380","SRP064956.SRX1411453.GPL11154","SRP064956","SRX1411453","GPL11154","retinal pigmented epithelium, treated","other","RPE.t",NA,NA,"","",114,"RPE","standard",NA,"RPE",NA,"","RPE","transformed, treated","","hTERT-RPE1 (human telomerase reverse-transcriptase-transformed retinal pigment epithelium; ATCC) cells were serum starved in normal media with 0.2% FCS for 48 h to induced ciliogenesis, passage 9; PMID: 26167768","SRR2895380","PASS","SRX1411453","SRS1146045","SRP064956","RPE1_P9_0_2FCS_1","","","RPE1_P9_0_2FCS_1","2015-12-04 00:00:00","2016-04-22 17:05:46",26485913,1327805231,0,50,732,"GCA_000001405.13","https://sra-download.st-va.ncbi.nlm.nih.gov/sos2/sra-pub-run-3/SRR2895380/SRR2895380.2","","RNA-Seq","PolyA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP064956","PRJNA298886",2,298886,"SRS1146045","SAMN04193747","simple",9606,"Homo sapiens",NA,NA,NA,NA,"female",NA,"no",NA,NA,NA,"","UNIVERSITY OF LEEDS","SRA305007",NA,"public","C6ACC8D1D06CE5E7726E0236315B82EF","2BC0A87F3A0B13A672E39821DAE0B3E0"
"SRR447137","GSE36695.GSM898966.GPL9115","GSE36695","GSM898966","GPL9115","fetal retinal pigmented epithelium","standard","fRPE",NA,NA,"","",117,"fetal RPE","standard",NA,"fetal RPE",NA,"","fetal RPE","control","","fetal RPE isolated from 16 weeks gestation human fetus","SRR447137","PASS","SRX130846","SRS302236","SRP011895","GSM898966","GSE36695","GSM898966: hfRPESeq090910","GSM898966","2013-03-21 09:11:25","2012-08-11 22:51:38",19216899,653374566,0,34,431,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447137/SRR447137.2","GSM898966: hfRPESeq090910","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP011895","PRJNA153617",2,153617,"SRS302236","SAMN00829571","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","AB849201816D4087238219E58186924F","429C34DE3667944750F5EAE9C6A529B8"
"SRR447138","GSE36695.GSM898967.GPL9115","GSE36695","GSM898967","GPL9115","fetal retinal pigmented epithelium","standard","fRPE",NA,NA,"","",118,"fetal RPE","standard",NA,"fetal RPE",NA,"","fetal RPE","control","","fetal RPE isolated from 16 weeks gestation human fetus","SRR447138","PASS","SRX130847","SRS302237","SRP011895","GSM898967","GSE36695","GSM898967: hfRPESeq012611","GSM898967","2013-03-21 09:11:25","2012-08-11 22:51:48",24554931,834867654,0,34,446,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447138/SRR447138.2","GSM898967: hfRPESeq012611","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP011895","PRJNA153617",2,153617,"SRS302237","SAMN00829572","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","665AA5B4446993EE4D72421E7AB44C76","15786116402138012E94BB65F68AD729"
"SRR447139","GSE36695.GSM898968.GPL9115","GSE36695","GSM898968","GPL9115","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","endpoint","",119,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","untreated","","H1, hESC H1 line - derived RPE","SRR447139","PASS","SRX130848","SRS302238","SRP011895","GSM898968","GSE36695","GSM898968: H1RPE.sfm.022311","GSM898968","2013-03-21 09:11:25","2012-08-11 22:51:49",28388572,965211448,0,34,564,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447139/SRR447139.2","GSM898968: H1RPE.sfm.022311","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP011895","PRJNA153617",2,153617,"SRS302238","SAMN00829573","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","1BECCD254032431A13296A84C50A48E5","176315688BC5131516E41E8160B1EDD1"
"SRR447140","GSE36695.GSM898969.GPL9115","GSE36695","GSM898969","GPL9115","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","endpoint","",120,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","untreated","","H1, hESC H1 line - derived RPE","SRR447140","PASS","SRX130849","SRS302239","SRP011895","GSM898969","GSE36695","GSM898969: H1RPE.sfm.042011","GSM898969","2013-03-21 09:11:25","2012-08-11 22:51:48",24376847,877566492,0,36,493,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447140/SRR447140.2","GSM898969: H1RPE.sfm.042011","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP011895","PRJNA153617",2,153617,"SRS302239","SAMN00829574","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","250EBB798DC041D6832C789EE7D8C7D8","C6B450765A695FAD171A374A7AA91D23"
"SRR447142","GSE36695.GSM898971.GPL11154","GSE36695","GSM898971","GPL11154","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","endpoint","",122,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","untreated","","H9, hESC H9 line - derived RPE","SRR447142","PASS","SRX130851","SRS302241","SRP011895","GSM898971","GSE36695","GSM898971: H9RPE.sfm.041511","GSM898971","2013-03-21 09:11:25","2012-08-11 22:53:53",103101506,5155075300,0,50,3431,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447142/SRR447142.2","GSM898971: H9RPE.sfm.041511","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP011895","PRJNA153617",2,153617,"SRS302241","SAMN00829576","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","673257291C86C7BB6AE471014CBCB388","28FBAA4B9B1A1F2A4B4FC31A06C8B42A"
"SRR447143","GSE36695.GSM898972.GPL9115","GSE36695","GSM898972","GPL9115","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","endpoint","",123,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","untreated","","H9, hESC H9 line - derived RPE","SRR447143","PASS","SRX130852","SRS302242","SRP011895","GSM898972","GSE36695","GSM898972: H9RPE.sfm.042011","GSM898972","2013-03-21 09:11:25","2012-08-11 22:51:51",24809921,893157156,0,36,515,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447143/SRR447143.2","GSM898972: H9RPE.sfm.042011","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP011895","PRJNA153617",2,153617,"SRS302242","SAMN00829577","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","D052064B9DD50C624A4B0821A26933CB","B9756B4DB5895C117E83E44E220098AC"
"SRR447144","GSE36695.GSM898973.GPL9115","GSE36695","GSM898973","GPL9115","derived retinal pigmented epithelium","test","dRPE","ESC","dRPE-ESC","endpoint","",124,"derived RPE","test","RPE","derived RPE","ESC","","derived RPE","untreated","","H9, hESC H9 line - derived RPE","SRR447144","PASS","SRX130853","SRS302243","SRP011895","GSM898973","GSE36695","GSM898973: H9RPE.sfm.060311","GSM898973","2013-03-21 09:11:25","2012-08-11 22:51:54",26415703,950965308,0,36,664,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-2/SRR447144/SRR447144.2","GSM898973: H9RPE.sfm.060311","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina Genome Analyzer II","SRP011895","PRJNA153617",2,153617,"SRS302243","SAMN00829578","simple",9606,"Homo sapiens",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,"","GEO","SRA051231",NA,"public","B68C0E505740533DA994EAE115B9A3C8","22FE7FF8565D3064FFEAA61A4B81FC42"
