row,experiment_id,sample_id,platform_id,cell_type,category,general_cell_type,donor_tissue,sub_cell_type1,ts_timepoint,ResemblingNativeCellType,AdditionalProperty,GSE,GSM,SRR_accession,QC_summary,SRX_accession,SRS_accession,SRP_accession,GSE_accession,Sample_name,LibraryLayout,Model
ERP091820.ERX2162526.GPL16791,ERP091820,ERX2162526,GPL16791,derived neuron,test,dNEUR,IPS,dNEUR-IPS,d14,,,,,ERR2105248,PASS,ERX2162526,ERS1887007,ERP091820,SAMEA104227989,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162527.GPL16791,ERP091820,ERX2162527,GPL16791,derived neuron,test,dNEUR,IPS,dNEUR-IPS,d3,,,,,ERR2105249,PASS,ERX2162527,ERS1887008,ERP091820,SAMEA104227990,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162528.GPL16791,ERP091820,ERX2162528,GPL16791,derived neuron,test,dNEUR,IPS,dNEUR-IPS,d7,,,,,ERR2105250,PASS,ERX2162528,ERS1887009,ERP091820,SAMEA104227991,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162529.GPL16791,ERP091820,ERX2162529,GPL16791,derived neuron,test,dNEUR,NSC,dNEUR-NSC,d14,,,,,ERR2105251,PASS,ERX2162529,ERS1887010,ERP091820,SAMEA104227992,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162530.GPL16791,ERP091820,ERX2162530,GPL16791,derived neuron,test,dNEUR,NSC,dNEUR-NSC,d2,,,,,ERR2105252,PASS,ERX2162530,ERS1887011,ERP091820,SAMEA104227993,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162531.GPL16791,ERP091820,ERX2162531,GPL16791,derived neuron,test,dNEUR,NSC,dNEUR-NSC,d4,,,,,ERR2105253,"WARN(3,4,5,6,7)",ERX2162531,ERS1887012,ERP091820,SAMEA104227994,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162532.GPL16791,ERP091820,ERX2162532,GPL16791,derived neuron,test,dNEUR,NSC,dNEUR-NSC,d7,,,,,ERR2105254,PASS,ERX2162532,ERS1887013,ERP091820,SAMEA104227995,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162533.GPL16791,ERP091820,ERX2162533,GPL16791,derived neuron,test,dNEUR,IPS,dNEUR-IPS,d14,,,,,ERR2105255,WARN(8),ERX2162533,ERS1887014,ERP091820,SAMEA104227996,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162534.GPL16791,ERP091820,ERX2162534,GPL16791,derived neuron,test,dNEUR,IPS,dNEUR-IPS,d3,,,,,ERR2105256,PASS,ERX2162534,ERS1887015,ERP091820,SAMEA104227997,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162535.GPL16791,ERP091820,ERX2162535,GPL16791,derived neuron,test,dNEUR,IPS,dNEUR-IPS,d7,,,,,ERR2105257,PASS,ERX2162535,ERS1887016,ERP091820,SAMEA104227998,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162536.GPL16791,ERP091820,ERX2162536,GPL16791,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,ERR2105258,PASS,ERX2162536,ERS1887017,ERP091820,SAMEA104227999,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162538.GPL16791,ERP091820,ERX2162538,GPL16791,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,ERR2105260,"WARN(3,4)",ERX2162538,ERS1887019,ERP091820,SAMEA104228001,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162545.GPL16791,ERP091820,ERX2162545,GPL16791,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,ERR2105267,"WARN(3,4,5,6,7)",ERX2162545,ERS1887026,ERP091820,SAMEA104228008,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162546.GPL16791,ERP091820,ERX2162546,GPL16791,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,ERR2105268,PASS,ERX2162546,ERS1887027,ERP091820,SAMEA104228009,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162547.GPL16791,ERP091820,ERX2162547,GPL16791,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,ERR2105269,PASS,ERX2162547,ERS1887028,ERP091820,SAMEA104228010,,SINGLE,Illumina HiSeq 2500
ERP091820.ERX2162548.GPL16791,ERP091820,ERX2162548,GPL16791,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,ERR2105270,WARN(5),ERX2162548,ERS1887029,ERP091820,SAMEA104228011,,SINGLE,Illumina HiSeq 2500
ERP022538.ERX1981946.GPL20301,ERP022538,ERX1981946,GPL20301,naive induced pluripotent stem cell,standard,nIPS,FIB,nIPS-FIB,,,pmid:28765214,,,ERR1924219,"WARN(4,6)",ERX1981946,ERS1662503,ERP022538,SAMEA103973335,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981949.GPL20301,ERP022538,ERX1981949,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924222,"WARN(3,4,6)",ERX1981949,ERS1662506,ERP022538,SAMEA103973338,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981950.GPL20301,ERP022538,ERX1981950,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924223,"WARN(3,4,6)",ERX1981950,ERS1662507,ERP022538,SAMEA103973339,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981951.GPL20301,ERP022538,ERX1981951,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924224,"WARN(3,4,6)",ERX1981951,ERS1662508,ERP022538,SAMEA103973340,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981952.GPL20301,ERP022538,ERX1981952,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924225,"WARN(3,4,6)",ERX1981952,ERS1662509,ERP022538,SAMEA103973341,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981953.GPL20301,ERP022538,ERX1981953,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924226,"WARN(3,4,6)",ERX1981953,ERS1662510,ERP022538,SAMEA103973342,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981954.GPL20301,ERP022538,ERX1981954,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924227,"WARN(3,4,6)",ERX1981954,ERS1662511,ERP022538,SAMEA103973343,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981955.GPL20301,ERP022538,ERX1981955,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924228,"WARN(4,6)",ERX1981955,ERS1662512,ERP022538,SAMEA103973344,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981956.GPL20301,ERP022538,ERX1981956,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924229,"WARN(4,6)",ERX1981956,ERS1662513,ERP022538,SAMEA103973345,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981957.GPL20301,ERP022538,ERX1981957,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924230,"WARN(4,6)",ERX1981957,ERS1662514,ERP022538,SAMEA103973346,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981960.GPL20301,ERP022538,ERX1981960,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924233,WARN(4),ERX1981960,ERS1662517,ERP022538,SAMEA103973349,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981961.GPL20301,ERP022538,ERX1981961,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924234,"WARN(4,6)",ERX1981961,ERS1662518,ERP022538,SAMEA103973350,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981962.GPL20301,ERP022538,ERX1981962,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924235,"WARN(4,6)",ERX1981962,ERS1662519,ERP022538,SAMEA103973351,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981963.GPL20301,ERP022538,ERX1981963,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924236,"WARN(4,6)",ERX1981963,ERS1662520,ERP022538,SAMEA103973352,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981965.GPL20301,ERP022538,ERX1981965,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924238,"WARN(4,6)",ERX1981965,ERS1662522,ERP022538,SAMEA103973354,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981967.GPL20301,ERP022538,ERX1981967,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924240,WARN(4),ERX1981967,ERS1662524,ERP022538,SAMEA103973356,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981968.GPL20301,ERP022538,ERX1981968,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924241,WARN(4),ERX1981968,ERS1662525,ERP022538,SAMEA103973357,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981969.GPL20301,ERP022538,ERX1981969,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924242,WARN(4),ERX1981969,ERS1662526,ERP022538,SAMEA103973358,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981970.GPL20301,ERP022538,ERX1981970,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924243,"WARN(3,4,6)",ERX1981970,ERS1662528,ERP022538,SAMEA103973360,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981971.GPL20301,ERP022538,ERX1981971,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924244,"WARN(3,4,6)",ERX1981971,ERS1662529,ERP022538,SAMEA103973361,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981972.GPL20301,ERP022538,ERX1981972,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924245,"WARN(3,4,6)",ERX1981972,ERS1662530,ERP022538,SAMEA103973362,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981973.GPL20301,ERP022538,ERX1981973,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924246,"WARN(4,6)",ERX1981973,ERS1662531,ERP022538,SAMEA103973363,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981974.GPL20301,ERP022538,ERX1981974,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924247,"WARN(4,6)",ERX1981974,ERS1662532,ERP022538,SAMEA103973364,,SINGLE,Illumina HiSeq 4000
ERP022538.ERX1981975.GPL20301,ERP022538,ERX1981975,GPL20301,naive embryonic stem cell,standard,nESC,NA,NA,,,pmid:28765214,,,ERR1924248,"WARN(4,6)",ERX1981975,ERS1662533,ERP022538,SAMEA103973365,,SINGLE,Illumina HiSeq 4000
ERP107276.ERX2413558.GPL20301,ERP107276,ERX2413558,GPL20301,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,ERR2365247,PASS,ERX2413558,ERS2267555,ERP107276,SAMEA104666172,,SINGLE,Illumina HiSeq 4000
ERP107276.ERX2413559.GPL20301,ERP107276,ERX2413559,GPL20301,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,ERR2365248,PASS,ERX2413559,ERS2267556,ERP107276,SAMEA104666173,,SINGLE,Illumina HiSeq 4000
ERP107276.ERX2413560.GPL20301,ERP107276,ERX2413560,GPL20301,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,ERR2365249,PASS,ERX2413560,ERS2267557,ERP107276,SAMEA104666174,,SINGLE,Illumina HiSeq 4000
SRP040275.SRX495153.GPL16791,SRP040275,SRX495153,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,SRR1198658,PASS,SRX495153,SRS577367,SRP040275,iPSC_1,,PAIRED,Illumina HiSeq 2500
SRP040275.SRX495155.GPL16791,SRP040275,SRX495155,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,SRR1198659,"WARN(1,5,7,8)",SRX495155,SRS577368,SRP040275,iPSC_2,,PAIRED,Illumina HiSeq 2500
SRP040275.SRX495156.GPL16791,SRP040275,SRX495156,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,SRR1198660,PASS,SRX495156,SRS577369,SRP040275,iPSC_3,,PAIRED,Illumina HiSeq 2500
SRP040275.SRX495152.GPL16791,SRP040275,SRX495152,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHC,IPS-LYMPHC,,,,,,SRR1200250,PASS,SRX495152,SRS577366,SRP040275,iPSC_0,,PAIRED,Illumina HiSeq 2500
SRP041475.SRX528273.GPL9115,SRP041475,SRX528273,GPL9115,induced pluripotent stem cell,standard,IPS,URC,IPS-URC,,,,,,SRR1264499,PASS,SRX528273,SRS598127,SRP041475,Transcriptome of  iPSCs,,PAIRED,Illumina Genome Analyzer II
SRP041474.SRX528271.GPL9115,SRP041474,SRX528271,GPL9115,induced pluripotent stem cell,standard,IPS,URC,IPS-URC,,,,,,SRR1264501,PASS,SRX528271,SRS598126,SRP041474,Transcriptome of AS iPSCs,,PAIRED,Illumina Genome Analyzer II
SRP046066.SRX691516.GPL16791,SRP046066,SRX691516,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHBL,IPS-LYMPHBL,,,,,,SRR1564407,PASS,SRX691516,SRS693808,SRP046066,Human iPSCs derived from a human immortalized lymphoblastoid cell line,,SINGLE,Illumina HiSeq 2500
SRP046066.SRX691516.GPL16791,SRP046066,SRX691516,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHBL,IPS-LYMPHBL,,,,,,SRR1564408,PASS,SRX691516,SRS693808,SRP046066,Human iPSCs derived from a human immortalized lymphoblastoid cell line,,SINGLE,Illumina HiSeq 2500
SRP046066.SRX691525.GPL16791,SRP046066,SRX691525,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHBL,IPS-LYMPHBL,,,,,,SRR1564414,PASS,SRX691525,SRS693808,SRP046066,Human iPSCs derived from a human immortalized lymphoblastoid cell line,,SINGLE,Illumina HiSeq 2500
SRP046066.SRX691525.GPL16791,SRP046066,SRX691525,GPL16791,induced pluripotent stem cell,standard,IPS,LYMPHBL,IPS-LYMPHBL,,,,,,SRR1564415,PASS,SRX691525,SRS693808,SRP046066,Human iPSCs derived from a human immortalized lymphoblastoid cell line,,SINGLE,Illumina HiSeq 2500
SRP155367.SRX4472923.GPL20301,SRP155367,SRX4472923,GPL20301,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,SRR7608021,PASS,SRX4472923,SRS3598313,SRP155367,ASTiso_iPSC_2,,PAIRED,Illumina HiSeq 4000
SRP155367.SRX4472922.GPL20301,SRP155367,SRX4472922,GPL20301,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,SRR7608022,PASS,SRX4472922,SRS3598312,SRP155367,ASTiso_iPSC_1,,PAIRED,Illumina HiSeq 4000
SRP155367.SRX4472921.GPL20301,SRP155367,SRX4472921,GPL20301,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,SRR7608023,PASS,SRX4472921,SRS3598309,SRP155367,AST_iPSC_3,,PAIRED,Illumina HiSeq 4000
SRP155367.SRX4472920.GPL20301,SRP155367,SRX4472920,GPL20301,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,SRR7608024,PASS,SRX4472920,SRS3598311,SRP155367,AST_iPSC_2,,PAIRED,Illumina HiSeq 4000
SRP155367.SRX4472919.GPL20301,SRP155367,SRX4472919,GPL20301,induced pluripotent stem cell,standard,IPS,FIB,IPS-FIB,,,,,,SRR7608025,PASS,SRX4472919,SRS3598308,SRP155367,AST_iPSC_1,,PAIRED,Illumina HiSeq 4000
ERP016268.ERX1546036.GPL11154,ERP016268,ERX1546036,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474899,FAIL(2),ERX1546036,ERS1223090,ERP016268,SAMEA4051980,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546037.GPL11154,ERP016268,ERX1546037,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474900,FAIL(2),ERX1546037,ERS1223091,ERP016268,SAMEA4051981,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546038.GPL11154,ERP016268,ERX1546038,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474901,FAIL(2),ERX1546038,ERS1223092,ERP016268,SAMEA4051982,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546039.GPL11154,ERP016268,ERX1546039,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474902,"WARN(2,8)",ERX1546039,ERS1223093,ERP016268,SAMEA4051983,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546040.GPL11154,ERP016268,ERX1546040,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474903,FAIL(2),ERX1546040,ERS1223094,ERP016268,SAMEA4051984,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546041.GPL11154,ERP016268,ERX1546041,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474904,"WARN(2,8)",ERX1546041,ERS1223095,ERP016268,SAMEA4051985,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546042.GPL11154,ERP016268,ERX1546042,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474905,"FAIL(1,2,3,4,5,6,7)",ERX1546042,ERS1223096,ERP016268,SAMEA4051986,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546043.GPL11154,ERP016268,ERX1546043,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474906,FAIL(2),ERX1546043,ERS1223097,ERP016268,SAMEA4051987,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546044.GPL11154,ERP016268,ERX1546044,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474907,"WARN(4,6,8)",ERX1546044,ERS1223098,ERP016268,SAMEA4051988,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546045.GPL11154,ERP016268,ERX1546045,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474908,FAIL(2),ERX1546045,ERS1223099,ERP016268,SAMEA4051989,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546036.GPL11154,ERP016268,ERX1546036,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474899,FAIL(2),ERX1546036,ERS1223090,ERP016268,SAMEA4051980,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546037.GPL11154,ERP016268,ERX1546037,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474900,FAIL(2),ERX1546037,ERS1223091,ERP016268,SAMEA4051981,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546038.GPL11154,ERP016268,ERX1546038,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474901,FAIL(2),ERX1546038,ERS1223092,ERP016268,SAMEA4051982,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546039.GPL11154,ERP016268,ERX1546039,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474902,"WARN(2,8)",ERX1546039,ERS1223093,ERP016268,SAMEA4051983,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546040.GPL11154,ERP016268,ERX1546040,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474903,FAIL(2),ERX1546040,ERS1223094,ERP016268,SAMEA4051984,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546041.GPL11154,ERP016268,ERX1546041,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474904,"WARN(2,8)",ERX1546041,ERS1223095,ERP016268,SAMEA4051985,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546042.GPL11154,ERP016268,ERX1546042,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474905,"FAIL(1,2,3,4,5,6,7)",ERX1546042,ERS1223096,ERP016268,SAMEA4051986,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546043.GPL11154,ERP016268,ERX1546043,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474906,FAIL(2),ERX1546043,ERS1223097,ERP016268,SAMEA4051987,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546044.GPL11154,ERP016268,ERX1546044,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474907,"WARN(4,6,8)",ERX1546044,ERS1223098,ERP016268,SAMEA4051988,,PAIRED,Illumina HiSeq 2000
ERP016268.ERX1546045.GPL11154,ERP016268,ERX1546045,GPL11154,fetal midbrain,standard,fBRN,NA,NA,,,,,,ERR1474908,FAIL(2),ERX1546045,ERS1223099,ERP016268,SAMEA4051989,,PAIRED,Illumina HiSeq 2000
ERP109002.ERX2614332.GPL16791,ERP109002,ERX2614332,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598051,PASS,ERX2614332,ERS2510157,ERP109002,SAMEA4689973,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614337.GPL16791,ERP109002,ERX2614337,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598056,"WARN(4,6)",ERX2614337,ERS2510162,ERP109002,SAMEA4689978,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614338.GPL16791,ERP109002,ERX2614338,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598057,PASS,ERX2614338,ERS2510163,ERP109002,SAMEA4689979,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614350.GPL16791,ERP109002,ERX2614350,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598069,PASS,ERX2614350,ERS2510175,ERP109002,SAMEA4689991,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614351.GPL16791,ERP109002,ERX2614351,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598070,PASS,ERX2614351,ERS2510176,ERP109002,SAMEA4689992,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614352.GPL16791,ERP109002,ERX2614352,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598071,PASS,ERX2614352,ERS2510177,ERP109002,SAMEA4689993,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614353.GPL16791,ERP109002,ERX2614353,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598072,PASS,ERX2614353,ERS2510178,ERP109002,SAMEA4689994,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614358.GPL16791,ERP109002,ERX2614358,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598077,PASS,ERX2614358,ERS2510183,ERP109002,SAMEA4689999,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614360.GPL16791,ERP109002,ERX2614360,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598079,PASS,ERX2614360,ERS2510185,ERP109002,SAMEA4690001,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614361.GPL16791,ERP109002,ERX2614361,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598080,PASS,ERX2614361,ERS2510186,ERP109002,SAMEA4690002,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614370.GPL16791,ERP109002,ERX2614370,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598089,PASS,ERX2614370,ERS2510195,ERP109002,SAMEA4690011,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614373.GPL16791,ERP109002,ERX2614373,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598092,PASS,ERX2614373,ERS2510198,ERP109002,SAMEA4690014,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614374.GPL16791,ERP109002,ERX2614374,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598093,PASS,ERX2614374,ERS2510199,ERP109002,SAMEA4690015,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614375.GPL16791,ERP109002,ERX2614375,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598094,PASS,ERX2614375,ERS2510200,ERP109002,SAMEA4690016,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614383.GPL16791,ERP109002,ERX2614383,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598102,WARN(8),ERX2614383,ERS2510208,ERP109002,SAMEA4690024,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614385.GPL16791,ERP109002,ERX2614385,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598104,PASS,ERX2614385,ERS2510210,ERP109002,SAMEA4690026,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614390.GPL16791,ERP109002,ERX2614390,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598109,PASS,ERX2614390,ERS2510215,ERP109002,SAMEA4690031,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614391.GPL16791,ERP109002,ERX2614391,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598110,PASS,ERX2614391,ERS2510216,ERP109002,SAMEA4690032,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614392.GPL16791,ERP109002,ERX2614392,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598111,PASS,ERX2614392,ERS2510217,ERP109002,SAMEA4690033,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614401.GPL16791,ERP109002,ERX2614401,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598120,PASS,ERX2614401,ERS2510226,ERP109002,SAMEA4690042,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614402.GPL16791,ERP109002,ERX2614402,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598121,PASS,ERX2614402,ERS2510227,ERP109002,SAMEA4690043,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614406.GPL16791,ERP109002,ERX2614406,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598125,PASS,ERX2614406,ERS2510231,ERP109002,SAMEA4690047,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614407.GPL16791,ERP109002,ERX2614407,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598126,PASS,ERX2614407,ERS2510232,ERP109002,SAMEA4690048,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614408.GPL16791,ERP109002,ERX2614408,GPL16791,fetal hindbrain,standard,fBRN,NA,NA,,,,,,ERR2598127,PASS,ERX2614408,ERS2510233,ERP109002,SAMEA4690049,,SINGLE,Illumina HiSeq 2500
ERP109002.ERX2614418.GPL16791,ERP109002,ERX2614418,GPL16791,fetal forebrain,standard,fBRN,NA,NA,,,,,,ERR2598137,PASS,ERX2614418,ERS2510243,ERP109002,SAMEA4690059,,SINGLE,Illumina HiSeq 2500
